"geoid","geolevel","year","education_score","education_rnk","education_state_rnk"
"05000US16063","county","2019","60.83","2.046","4.6512"
"05000US16065","county","2019","134.39","94.5652","97.6744"
"05000US16067","county","2019","75.97","9.335","11.6279"
"05000US16069","county","2019","109.71","72.6343","79.0698"
"05000US16071","county","2019","93.29","36.6049","39.5349"
"05000US16073","county","2019","56.64","1.3747","2.3256"
"05000US16075","county","2019","87.88","26.9501","25.5814"
"05000US16077","county","2019","75.61","9.1752","9.3023"
"05000US16079","county","2019","79.18","12.7558","16.2791"
"05000US16081","county","2019","127.2","90.2813","93.0233"
"05000US16083","county","2019","96.07","43.1905","53.4884"
"05000US16085","county","2019","109.37","72.0269","74.4186"
"05000US16087","county","2019","79.31","12.9156","18.6047"
"05000US17001","county","2019","112.83","76.9501","78.2178"
"05000US17003","county","2019","81.92","16.624","1.9802"
"05000US17005","county","2019","105.85","65.1535","59.4059"
"05000US17007","county","2019","111.16","74.6483","72.2772"
"05000US17009","county","2019","96.91","44.7251","32.1782"
"05000US17011","county","2019","107.5","68.2545","64.3564"
"05000US17013","county","2019","107.22","67.679","63.3663"
"05000US17015","county","2019","98.41","48.1458","34.6535"
"05000US17017","county","2019","85.52","22.1547","6.9307"
"05000US17019","county","2019","149.78","98.6573","98.0198"
"05000US17021","county","2019","105.27","63.8427","56.4356"
"05000US17023","county","2019","103","58.9834","50.495"
"05000US17025","county","2019","90.18","31.1381","11.8812"
"05000US17027","county","2019","112.06","75.8312","75.2475"
"05000US17029","county","2019","117.12","82.7366","81.1881"
"05000US17031","county","2019","163.1","99.7762","100"
"05000US17033","county","2019","92.66","35.0064","14.8515"
"05000US17035","county","2019","95.76","42.1995","26.7327"
"05000US17037","county","2019","128.82","91.4322","91.0891"
"05000US17039","county","2019","105.43","64.3223","57.4257"
"05000US17041","county","2019","84.78","20.6841","4.9505"
"05000US17043","county","2019","149.83","98.6893","99.0099"
"05000US17045","county","2019","99.69","51.5026","39.604"
"05000US17047","county","2019","96.27","43.4463","28.7129"
"05000US17049","county","2019","112.77","76.8223","77.2277"
"05000US17051","county","2019","88.83","28.6125","10.8911"
"05000US17053","county","2019","106.73","66.7519","62.3762"
"05000US17055","county","2019","93.76","37.8836","19.802"
"05000US17057","county","2019","100.02","52.1739","41.5842"
"05000US17059","county","2019","85.02","21.0358","5.9406"
"05000US17061","county","2019","93.57","37.3402","17.8218"
"05000US17063","county","2019","116.72","82.321","80.198"
"05000US17065","county","2019","98.63","48.6253","35.6436"
"05000US17067","county","2019","103.28","59.4309","51.4851"
"05000US17069","county","2019","78.18","11.5409","0"
"05000US17071","county","2019","94.85","40.1215","23.7624"
"05000US17073","county","2019","111.42","75.0639","74.2574"
"05000US17075","county","2019","98.85","49.009","37.6238"
"05000US17077","county","2019","121.76","87.1483","86.1386"
"05000US17079","county","2019","94.52","39.4501","22.7723"
"05000US17081","county","2019","91.92","33.9834","12.8713"
"05000US17083","county","2019","110.11","73.1458","70.297"
"05000US17085","county","2019","106.29","66.1765","61.3861"
"05000US17087","county","2019","93.97","38.3312","20.7921"
"05000US17089","county","2019","114.98","79.6036","79.2079"
"05000US17091","county","2019","108.62","70.7801","68.3168"
"05000US17093","county","2019","130.18","92.1995","93.0693"
"05000US17095","county","2019","102.96","58.9194","49.505"
